,SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,BETWEEN_days,KWH_DAYS,NB_FACTURES
0,0001BB,2018-01-01,2018-01-31,2447.0,"316,46",30,81.56666666666666,35.0
1,0001BB,2018-02-01,2018-02-28,2211.0,"286,82",27,81.88888888888889,35.0
2,0001BB,2018-03-01,2018-03-31,2450.0,"317,32",30,81.66666666666667,35.0
3,0001BB,2018-04-01,2018-04-30,2431.0,"315,00",29,83.82758620689656,35.0
4,0001BB,2018-05-01,2018-05-31,2574.0,"333,37",30,85.8,35.0
5,0001BB,2018-06-01,2018-06-30,2830.0,"365,27",29,97.58620689655173,35.0
6,0001BB,2018-07-01,2018-07-31,3028.0,"390,39",30,100.93333333333334,35.0
7,0001BB,2018-08-01,2018-08-31,3053.0,"393,99",30,101.76666666666667,35.0
8,0001BB,2018-09-01,2018-09-30,2915.0,"378,35",29,100.51724137931035,35.0
9,0001BB,2018-10-01,2018-10-31,2986.0,"387,05",30,99.53333333333333,35.0
10,0001BB,2018-11-01,2018-11-30,2871.0,"372,47",29,99.0,35.0
11,0001BB,2018-12-01,2018-12-31,3086.0,"399,30",30,102.86666666666666,35.0
12,0001BB,2019-01-01,2019-01-31,3094.0,"381,40",30,103.13333333333334,35.0
13,0001BB,2019-02-01,2019-02-28,2767.0,"345,87",27,102.48148148148148,35.0
14,0001BB,2019-03-01,2019-03-31,3059.0,"378,18",30,101.96666666666667,35.0
15,0001BB,2019-04-01,2019-04-30,2761.0,"340,84",29,95.20689655172414,35.0
16,0001BB,2019-05-01,2019-05-31,2844.0,"349,26",30,94.8,35.0
17,0001BB,2019-06-01,2019-06-30,3009.0,"369,19",29,103.75862068965517,35.0
18,0001BB,2019-07-01,2019-07-31,3016.0,"371,20",30,100.53333333333333,35.0
19,0001BB,2019-08-01,2019-08-31,3089.0,"380,42",30,102.96666666666667,35.0
20,0001BB,2019-09-01,2019-09-30,2914.0,"361,36",29,100.48275862068965,35.0
21,0001BB,2019-10-01,2019-10-31,2963.0,"366,70",30,98.76666666666667,35.0
22,0001BB,2019-11-01,2019-11-30,2797.0,"345,89",29,96.44827586206897,35.0
23,0001BB,2019-12-01,2019-12-31,2859.0,"353,08",30,95.3,35.0
24,0001BB,2020-01-01,2020-01-31,2863.0,"414,93",30,95.43333333333334,35.0
25,0001BB,2020-02-01,2020-02-29,2663.0,"387,22",28,95.10714285714286,35.0
26,0001BB,2020-03-01,2020-03-31,2759.0,"403,25",30,91.96666666666667,35.0
27,0001BB,2020-04-01,2020-04-30,2680.0,"390,79",29,92.41379310344827,35.0
28,0001BB,2020-05-01,2020-05-31,2797.0,"407,48",30,93.23333333333333,35.0
29,0001BB,2020-06-01,2020-06-30,2796.0,"407,77",29,96.41379310344827,35.0
30,0001BB,2020-07-01,2020-07-31,2952.0,"429,09",30,98.4,35.0
31,0001BB,2020-08-01,2020-08-31,3014.0,"435,98",30,100.46666666666667,35.0
32,0001BB,2020-09-01,2020-09-30,2857.0,"411,97",29,98.51724137931035,35.0
33,0001BB,2020-10-01,2020-10-31,2905.0,"413,41",30,96.83333333333333,35.0
34,0001BB,2020-11-01,2020-11-30,2755.0,"383,02",29,95.0,35.0
35,0001BR,2018-01-01,2018-01-31,2438.0,"266,43",30,81.26666666666667,35.0
36,0001BR,2018-02-01,2018-02-28,2211.0,"242,33",27,81.88888888888889,35.0
37,0001BR,2018-03-01,2018-03-31,2453.0,"267,95",30,81.76666666666667,35.0
38,0001BR,2018-04-01,2018-04-30,2414.0,"263,78",29,83.24137931034483,35.0
39,0001BR,2018-05-01,2018-05-31,2517.0,"274,62",30,83.9,35.0
40,0001BR,2018-06-01,2018-06-30,2461.0,"268,63",29,84.86206896551724,35.0
41,0001BR,2018-07-01,2018-07-31,2560.0,"279,26",30,85.33333333333333,35.0
42,0001BR,2018-08-01,2018-08-31,2597.0,"283,07",30,86.56666666666666,35.0
43,0001BR,2018-09-01,2018-09-30,2436.0,"267,99",29,84.0,35.0
44,0001BR,2018-10-01,2018-10-31,2497.0,"274,50",30,83.23333333333333,35.0
45,0001BR,2018-11-01,2018-11-30,2397.0,"263,82",29,82.65517241379311,35.0
46,0001BR,2018-12-01,2018-12-31,2452.0,"269,69",30,81.73333333333333,35.0
47,0001BR,2019-01-01,2019-01-31,2460.0,"264,03",30,82.0,35.0
48,0001BR,2019-02-01,2019-02-28,2229.0,"239,96",27,82.55555555555556,35.0
49,0001BR,2019-03-01,2019-03-31,2475.0,"265,56",30,82.5,35.0
50,0001BR,2019-04-01,2019-04-30,2410.0,"258,76",29,83.10344827586206,35.0
51,0001BR,2019-05-01,2019-05-31,2508.0,"268,92",30,83.6,35.0
52,0001BR,2019-06-01,2019-06-30,2529.0,"270,94",29,87.20689655172414,35.0
53,0001BR,2019-07-01,2019-07-31,2593.0,"277,63",30,86.43333333333334,35.0
54,0001BR,2019-08-01,2019-08-31,2603.0,"278,60",30,86.76666666666667,35.0
55,0001BR,2019-09-01,2019-09-30,2595.0,"277,20",29,89.48275862068965,35.0
56,0001BR,2019-10-01,2019-10-31,2708.0,"288,79",30,90.26666666666667,35.0
57,0001BR,2019-11-01,2019-11-30,2595.0,"277,07",29,89.48275862068965,35.0
58,0001BR,2019-12-01,2019-12-31,2648.0,"282,57",30,88.26666666666667,35.0
59,0001BR,2020-01-01,2020-01-31,2600.0,"330,81",30,86.66666666666667,35.0
60,0001BR,2020-02-01,2020-02-29,2445.0,"311,57",28,87.32142857142857,35.0
61,0001BR,2020-03-01,2020-03-31,2609.0,"330,32",30,86.96666666666667,35.0
62,0001BR,2020-04-01,2020-04-30,2629.0,"332,70",29,90.65517241379311,35.0
63,0001BR,2020-05-01,2020-05-31,2735.0,"345,77",30,91.16666666666667,35.0
64,0001BR,2020-06-01,2020-06-30,2687.0,"339,78",29,92.65517241379311,35.0
65,0001BR,2020-07-01,2020-07-31,2854.0,"360,33",30,95.13333333333334,35.0
66,0001BR,2020-08-01,2020-08-31,2886.0,"364,21",30,96.2,35.0
67,0001BR,2020-09-01,2020-09-30,2761.0,"348,79",29,95.20689655172414,35.0
68,0001BR,2020-10-01,2020-10-31,2802.0,"353,90",30,93.4,35.0
69,0001BR,2020-11-01,2020-11-30,2677.0,"338,44",29,92.3103448275862,35.0
70,0001KO,2018-01-01,2018-01-31,2179.0,"268,53",30,72.63333333333334,35.0
71,0001KO,2018-02-01,2018-02-28,1971.0,"243,47",27,73.0,35.0
72,0001KO,2018-03-01,2018-03-31,2191.0,"269,98",30,73.03333333333333,35.0
73,0001KO,2018-04-01,2018-04-30,2370.0,"291,55",29,81.72413793103448,35.0
74,0001KO,2018-05-01,2018-05-31,2647.0,"324,92",30,88.23333333333333,35.0
75,0001KO,2018-06-01,2018-06-30,2634.0,"323,35",29,90.82758620689656,35.0
76,0001KO,2018-07-01,2018-07-31,2799.0,"343,43",30,93.3,35.0
